iter	Passed	Remaining
183	8522	14636
184	8567	14587
185	8613	14541
186	8661	14497
187	8709	14454
188	8757	14410
189	8810	14374
190	8856	14328
191	8905	14286
192	8958	14249
193	9005	14204
194	9055	14163
195	9104	14121
196	9157	14084
197	9209	14047
198	9256	14000
199	9303	13955
200	9350	13909
201	9395	13860
202	9443	13815
203	9490	13770
204	9534	13720
205	9583	13677
206	9629	13630
207	9674	13581
208	9722	13537
209	9771	13493
210	9815	13444
211	9860	13395
212	9907	13349
213	9954	13303
214	9998	13253
215	10045	13207
216	10087	13156
217	10136	13112
218	10183	13066
219	10226	13015
220	10274	12971
221	10325	12930
222	10370	12882
223	10416	12834
224	10462	12787
225	10509	12741
226	10560	12700
227	10613	12661
228	10666	12622
229	10723	12588
230	10780	12554
231	10842	12525
232	10906	12497
233	10973	12474
234	11040	12449
235	11101	12418
236	11160	12384
237	11218	12349
238	11286	12325
239	11345	12291
240	11410	12262
241	11470	12229
242	11527	12191
243	11590	12160
244	11655	12131
245	11716	12097
246	11783	12069
247	11844	12035
248	11907	12003
249	11969	11969
250	12033	11937
251	12093	11901
252	12152	11864
253	12223	11838
254	12292	11810
255	12359	11780
256	12416	11740
257	12472	11699
258	12527	11656
259	12585	11617
260	12640	11574
261	12695	11532
262	12746	11486
263	12797	11440
264	12846	11392
265	12897	11346
266	12954	11304
267	13010	11262
268	13062	11217
269	13118	11174
270	13170	11129
271	13223	11084
272	13274	11037
273	13323	10989
274	13373	10941
275	13423	10894
276	13466	10841
277	13528	10803
278	13579	10756
279	13628	10708
280	13681	10662
281	13728	10613
282	13777	10564
283	13826	10515
284	13869	10462
285	13916	10412
286	13964	10363
287	14013	10315
288	14061	10266
289	14111	10218
290	14161	10171
291	14207	10120
292	14253	10069
293	14300	10020
294	14345	9969
295	14391	9918
296	14435	9866
297	14488	9821
298	14540	9774
299	14598	9732
300	14659	9691
301	14717	9649
302	14775	9606
303	14831	9562
304	14892	9521
305	14946	9476
306	15003	9432
307	15065	9391
308	15122	9347
309	15181	9304
310	15240	9262
311	15297	9217
312	15353	9172
313	15411	9129
314	15468	9084
315	15523	9039
316	15578	8993
317	15635	8948
318	15690	8902
319	15747	8857
320	15797	8809
321	15849	8761
322	15902	8714
323	15952	8665
324	15998	8614
325	16053	8568
326	16108	8522
327	16163	8475
328	16216	8428
329	16267	8380
330	16316	8330
331	16365	8281
332	16412	8231
333	16461	8181
334	16507	8130
335	16552	8079
336	16603	8030
337	16652	7981
338	16701	7931
339	16752	7883
340	16804	7835
341	16848	7783
342	16897	7734
343	16946	7685
344	16998	7636
345	17049	7588
346	17094	7537
347	17141	7486
348	17191	7438
349	17238	7387
350	17283	7337
351	17335	7288
352	17387	7240
353	17442	7193
354	17492	7144
355	17542	7095
356	17593	7047
357	17644	6998
358	17692	6948
359	17744	6900
360	17792	6850
361	17839	6800
362	17887	6750
363	17937	6702
364	17984	6651
365	18033	6602
366	18079	6551
367	18127	6502
368	18175	6452
369	18224	6403
370	18276	6354
371	18325	6305
372	18372	6255
373	18418	6205
374	18458	6152
375	18505	6102
376	18552	6052
377	18601	6003
378	18648	5953
379	18693	5903
380	18747	5855
381	18796	5806
382	18847	5757
383	18900	5709
384	18954	5661
385	19002	5612
386	19051	5562
387	19090	5510
388	19138	5461
389	19186	5411
390	19229	5360
391	19275	5310
392	19318	5259
393	19362	5209
394	19411	5159
395	19459	5110
396	19518	5064
397	19575	5016
398	19629	4968
399	19681	4920
400	19727	4870
401	19776	4821
402	19824	4771
403	19873	4722
404	19930	4674
405	19977	4625
406	20027	4576
407	20080	4528
408	20136	4480
409	20184	4430
410	20236	4382
411	20291	4334
412	20344	4285
413	20396	4236
414	20447	4188
415	20504	4140
416	20558	4091
417	20617	4044
418	20674	3996
419	20737	3949
420	20828	3908
421	20904	3863
422	20973	3817
423	21044	3772
424	21115	3726
425	21190	3681
426	21256	3634
427	21318	3586
428	21377	3537
429	21437	3489
430	21500	3442
431	21553	3392
432	21612	3344
433	21666	3294
434	21719	3245
435	21775	3196
436	21833	3147
437	21888	3098
438	21939	3048
439	21992	2998
440	22049	2949
441	22104	2900
442	22159	2851
443	22215	2801
444	22272	2752
445	22321	2702
446	22376	2653
447	22430	2603
448	22486	2554
449	22542	2504
450	22600	2455
451	22656	2406
452	22711	2356
453	22764	2306
454	22817	2256
455	22871	2206
456	22919	2156
457	22972	2106
458	23030	2057
459	23086	2007
460	23142	1957
461	23201	1908
462	23256	1858
463	23316	1809
464	23376	1759
465	23432	1709
466	23492	1660
467	23547	1610
468	23603	1560
469	23669	1510
470	23730	1461
471	23792	1411
472	23852	1361
473	23912	1311
474	23973	1261
475	24030	1211
476	24089	1161
477	24148	1111
478	24212	1061
479	24279	1011
480	24351	961
481	24417	911
482	24481	861
483	24543	811
484	24603	760
485	24664	710
486	24724	659
487	24779	609
488	24833	558
489	24890	507
490	24947	457
491	25002	406
492	25061	355
493	25120	305
494	25183	254
495	25243	203
496	25296	152
497	25351	101
498	25405	50
499	25455	0
