iter	Logloss
202	0.4160675227
203	0.4155766064
204	0.4153843162
205	0.415083675
206	0.4149811432
207	0.4145010798
208	0.4143655845
209	0.4141981188
210	0.4141293439
211	0.4138932399
212	0.4137720943
213	0.4134086262
214	0.4133186445
215	0.4131283116
216	0.4128461896
217	0.4127448085
218	0.4124145035
219	0.4123044185
220	0.412249326
221	0.411959924
222	0.4118930223
223	0.4117474858
224	0.411700543
225	0.411454009
226	0.411342014
227	0.4111363487
228	0.4109710005
229	0.4107641425
230	0.4106615345
231	0.4104038874
232	0.4103181329
233	0.4100607407
234	0.4099995742
235	0.4098312651
236	0.4096206108
237	0.4095607474
238	0.4092101026
239	0.4091469631
240	0.4090869735
241	0.4084884181
242	0.4082969187
243	0.4080230487
244	0.4079577627
245	0.4076095902
246	0.4073678403
247	0.4072348145
248	0.4070739221
249	0.4070244361
250	0.4069778742
251	0.4065237755
252	0.406374863
253	0.4062130747
254	0.4060532462
255	0.4059384795
256	0.405651618
257	0.4053160928
258	0.4052701588
259	0.4050347037
260	0.4049508539
261	0.4047603581
262	0.4044108693
263	0.4040263573
264	0.4039107972
265	0.403867895
266	0.4035919468
267	0.4034173272
268	0.4030855273
269	0.4028076377
270	0.4027383242
271	0.4025666208
272	0.4023952957
273	0.4023461145
274	0.4022491812
275	0.4019792546
276	0.4017597466
277	0.4010885622
278	0.4008490796
279	0.4002447181
280	0.4000243458
281	0.3998405415
282	0.3998051635
283	0.3997640925
284	0.3996132359
285	0.3993516691
286	0.398878158
287	0.3986987227
288	0.3984535522
289	0.3984186157
290	0.398026871
291	0.3978084638
292	0.3977628267
293	0.3973639596
294	0.3973283899
295	0.3972970894
296	0.3972632379
297	0.3968100824
298	0.3966869901
299	0.3964722111
300	0.3964374794
301	0.396403247
302	0.3958905538
303	0.3954226623
304	0.3951486976
305	0.3949259004
306	0.3948897869
307	0.3946713587
308	0.3944264719
309	0.3940125142
310	0.3936059784
311	0.3934510391
312	0.3932549106
313	0.393088325
314	0.3928668387
315	0.3926938165
316	0.3925382546
317	0.3923325079
318	0.3923000147
319	0.3922648154
320	0.3921097501
321	0.3920018115
322	0.391782955
323	0.3915387408
324	0.3910754758
325	0.3910433767
326	0.3910159119
327	0.3908971335
328	0.3906025295
329	0.3905266691
330	0.3903557486
331	0.3902274649
332	0.3899335283
333	0.3897791303
334	0.3897112565
335	0.3896790759
336	0.3895518773
337	0.3892740796
338	0.3892445131
339	0.3891385738
340	0.3889098338
341	0.388528083
342	0.3883763384
343	0.3881218676
344	0.3878844763
345	0.3877870018
346	0.3877377944
347	0.3875659333
348	0.3873864718
349	0.3871755127
350	0.3871475278
351	0.3871075365
352	0.3865470834
353	0.3861139103
354	0.3860050023
355	0.385736321
356	0.3855134528
357	0.3854030394
358	0.3852698245
359	0.385245804
360	0.3850244307
361	0.3843910806
362	0.3842716322
363	0.3840278988
364	0.383819919
365	0.3836369002
366	0.3835130224
367	0.3833784781
368	0.3833099843
369	0.3832104449
370	0.3829190252
371	0.3827944721
372	0.3825785004
373	0.3825548267
374	0.3824673093
375	0.3820670682
376	0.382042165
377	0.3819490123
378	0.3817215071
379	0.3814872553
380	0.3811915032
381	0.3811656673
382	0.3810667112
383	0.3807297935
384	0.3805790657
385	0.3804078115
386	0.3802813853
387	0.3800736078
388	0.3799630604
389	0.3795728368
390	0.3795023858
391	0.3792866741
392	0.3791302268
393	0.3790121788
394	0.378522689
395	0.3782559282
396	0.3780622377
397	0.3780059
398	0.3777244268
399	0.3776787818
400	0.3776517111
401	0.3776262903
402	0.3775327751
403	0.3772517196
404	0.3772013115
405	0.3768925417
406	0.3768040523
407	0.376522918
408	0.3761988369
409	0.3760354118
410	0.3756826443
411	0.3752707332
412	0.3748246658
413	0.3747868787
414	0.374673184
415	0.3746468436
416	0.3746203325
417	0.3740303996
418	0.3739252984
419	0.3736124328
420	0.3735104343
421	0.3734865373
422	0.3732014307
423	0.3731173812
424	0.3730953731
425	0.3729640708
426	0.3729425698
427	0.3727695449
428	0.3727093321
429	0.372195609
430	0.3718486528
431	0.371714324
432	0.3716175195
433	0.3713921844
434	0.37089883
435	0.3706551071
436	0.3703448214
437	0.3701215723
438	0.3698849665
439	0.3698235373
440	0.369658302
441	0.3695318889
442	0.3693998379
443	0.36850898
444	0.3683731326
445	0.3681689754
446	0.3679973613
447	0.3677548942
448	0.3673960814
449	0.3672294827
450	0.3671054183
451	0.3669052833
452	0.36677618
453	0.3665468857
454	0.3663849318
455	0.3663141498
456	0.3661451813
457	0.3659922045
458	0.3658581673
459	0.3657258089
460	0.3654608398
461	0.3654429354
462	0.3654198555
463	0.3651704893
464	0.3650110287
465	0.3649607651
466	0.3649345771
467	0.3647797613
468	0.3645436284
469	0.3642100736
470	0.3637774523
471	0.3635867568
472	0.363235957
473	0.3627200534
474	0.3625076021
475	0.3624153899
476	0.3623410953
477	0.3622465318
478	0.3619316301
479	0.3618615101
480	0.3613387704
481	0.3612817023
482	0.3612581127
483	0.3612091233
484	0.3611122872
485	0.3608364047
486	0.3607179941
487	0.3606124095
488	0.3604042826
489	0.3601123426
490	0.3598802109
491	0.3597423222
492	0.3594810102
493	0.3594306494
494	0.3591727212
495	0.3589968852
496	0.3585507206
497	0.3585311716
498	0.3583456281
499	0.3580779898
