iter	Logloss
0	0.6718661779
1	0.6513193041
2	0.63377383
3	0.6179745729
4	0.6038484705
5	0.5907909036
6	0.5789398109
7	0.5682860813
8	0.5586332368
9	0.5502888861
10	0.5430557945
11	0.5358522116
12	0.5295869995
13	0.5239592098
14	0.5189976259
15	0.514790112
16	0.5103084575
17	0.506727547
18	0.5036602257
19	0.5007197719
20	0.4980235271
21	0.4953550964
22	0.4930277895
23	0.4913030157
24	0.4894168554
25	0.4875778955
26	0.4859806828
27	0.4842060946
28	0.4826589117
29	0.4816311529
30	0.4807016042
31	0.4798074544
32	0.4786892489
33	0.4777133301
34	0.4763339255
35	0.4754050415
36	0.4745206255
37	0.4733513183
38	0.4724809079
39	0.4715917839
40	0.4710450291
41	0.4701356651
42	0.4692354754
43	0.4685716629
44	0.4681321819
45	0.4674374026
46	0.4665091176
47	0.4658980199
48	0.4653779495
49	0.4648192697
50	0.4643334764
51	0.4638210932
52	0.4634712708
53	0.4632940003
54	0.4625335331
55	0.4619294658
56	0.4615592589
57	0.461100334
58	0.4602570127
59	0.4597897333
60	0.4593760829
61	0.4590159724
62	0.4585746865
63	0.4581873712
64	0.4579122638
65	0.4573567367
66	0.4570542275
67	0.4570111834
68	0.4566610615
69	0.4564675838
70	0.4561397143
71	0.455401791
72	0.4550175654
73	0.4546563146
74	0.4541194406
75	0.4539406043
76	0.45377988
77	0.4531115697
78	0.4528260087
79	0.4524275357
80	0.4521360765
81	0.4514987777
82	0.4513271873
83	0.4511721272
84	0.4508083149
85	0.45066281
86	0.45030741
87	0.4495553366
88	0.449107396
89	0.4489263319
90	0.4484996244
91	0.448219872
92	0.4479133564
93	0.447520327
94	0.4472359875
95	0.4470501997
96	0.4464208929
97	0.4463782691
98	0.4460140838
99	0.445808944
100	0.4449286579
101	0.4444917227
102	0.4440320832
103	0.4439769776
104	0.4437954669
105	0.4435854878
106	0.4432054577
107	0.4431036379
108	0.4429212943
109	0.4426138486
110	0.4424802029
111	0.4422876605
112	0.4420827624
113	0.4418848159
114	0.4417063238
115	0.441572297
116	0.44120152
117	0.4407077742
118	0.4406119129
119	0.4402446957
120	0.439727489
121	0.4394980475
122	0.4392828954
123	0.4378785509
124	0.4374146842
125	0.4370868646
126	0.4366432405
127	0.436461136
128	0.4361849935
129	0.4359057061
130	0.4356225857
131	0.4353232528
132	0.435165471
133	0.4350869491
134	0.434923235
135	0.4347440257
136	0.4344707678
137	0.4342643958
138	0.4340304619
139	0.4338926888
140	0.4336004625
141	0.4332821402
142	0.433103677
143	0.4330066387
144	0.4327273724
145	0.432525133
146	0.4322650951
147	0.4319129844
148	0.4315796765
149	0.4312738545
150	0.4307953464
151	0.4306715395
152	0.4304335387
153	0.4299880677
154	0.4297857468
155	0.4296915091
156	0.4294988433
157	0.4293356704
158	0.4291066204
159	0.4287928668
160	0.4284333395
161	0.427907681
162	0.427809287
163	0.4276358181
164	0.4271913324
165	0.4268937597
166	0.4266867519
167	0.4264090619
168	0.4262750694
169	0.426106072
170	0.4253923295
171	0.4249082518
172	0.4244953029
173	0.4243202998
174	0.4239721114
175	0.4238245021
176	0.4236160415
177	0.4233193148
178	0.4230823123
179	0.4228815651
180	0.42254222
181	0.4222670757
182	0.4215229208
183	0.4210032944
184	0.4207888595
185	0.4206303867
186	0.42048438
187	0.4201454709
188	0.4197826359
189	0.4196214361
190	0.4194737873
191	0.4193513413
192	0.418990792
193	0.418842447
194	0.4186546573
195	0.4183714081
196	0.4179783314
197	0.4178518815
198	0.4174928324
199	0.4171193703
200	0.4165005382
201	0.4162370981
